Status,Project Name,Project Type,URL,Launch Date,Home Department,Nested Department,Top Level School or Major Office,Client/PI,Client Catergory,UConn Affiliation,Lane,Grant Y/N, Grant Value ,Sponsor,i3 Primary,Project Contact Email,Current i3 Staffing ,i3 Staffing History,Cycle Out,Cycle In,App Profile Document Link
7 - launched,CT Waste Management,,https://ctwaste.dev.i3.uconn.edu/regions/county,,College of Engineering,,College of Engineering,Tina Ryan,,Internal,Core,Y,,,Joel,,,Joel S.,,,
7 - launched,Hartford Bound,,https://hartfordbound.com/#/,,History,,College of Liberal Arts and Sciences,Fiona Vernal,,Internal,Core,Y,,,Brooke,,,"Mackenzie F., James K., Tom L.",,,
7 - launched,Haskins Lab Website,,https://haskins.global.uconn.edu/,,Global Affairs,,Office of the President,Fumiko Hoeft,,Internal,Core,Y,,,Natalie,,,"Natalie L., Kailey M.",,,
7 - launched,Husky ReView,,,,UConn Archives,,UConn Library,Graham Stinnett,,Internal,Core,N," $28,000.00 ",UConn Humanities Institute,Brooke,,,"Brooke G., Wes H., Tom L.",,,
7 - launched,Innovation in Connecticut Poster,,,,Werth Institute for Entrepreneurship and Innovation,,Werth Institute for Entrepreneurship and Innovation,Zeljko Mirkovic,,Internal,Internal,,,,Natalie,,,"Natalie L., Kara R.",,,
7 - launched,Institution Rankings Tool,,,,Office of the Provost,,Office of the Provost,Dan Schwartz,,Internal,Internal,,,,Joel,,,Joel S.,,,
7 - launched,Institutional Research Website,,,,Institutional Research,,Office of the Provost,Lauren Jorgensen,,Internal,Internal,N,,,Joel,,,"Lauren B., Natalie L., Joel S.",,,
7 - launched,LandGrab CT,,https://www.landgrabct.org/#/,,Human Rights Institute,,Human Rights Insitute,Glenn Mitoma,,Internal,Core,Y,,,Brooke,,,"Mackenzie F., Tom L., Carly W.",,,
7 - launched,Leamh,,https://xn--lamh-bpa.org/,,UConn Humanities Institute,,UConn Humanities Institute,Brendan Kane,,Internal,Core,Y," $4,000.00 ",UConn Humanities Institute,Sara,,,"Emmet D. Wes H., Tom L., Tom S.",,,
7 - launched,LGBTQ Services and Support Map,,https://lgbtqfamilyacceptance.org/resource-map/,,National SOGIE Center,,National SOGIE Center,Angela Weeks,,Internal,Core,Y,,,Joel,,,Joel S.,,,
7 - launched,Mansfield Training School Memorial and Museum Website,,https://mansfieldtrainingschool.research.uconn.edu/,,UConn Humanities Institute,,UConn Humanities Institute,Brenda Jo Brueggemann,,Internal,Core,y,,,Natalie,,,"NatalieL., Kailey M.",,,
7 - launched,Natural Resources Conservation Academy (NRCA) Website,,https://nrca.uconn.edu/,,Natural Resources Conservation Academy,Natural Resources and the Environment,"College of Agriculture, Health and Natural Resources",Laurel Pehmoeller,,Internal,Core,,,,Natalie,,,Natalie L.,,,
7 - launched,NetWorkLab,,,,Greenhouse Studios,,UConn Library,Isabell Sluka,,Internal,Core,Y," $249,566.00 ",NEH,Brooke,,,"Clarissa C., Brooke G., Wes H., Constance H., Tom S., Sara S., Isabell S.",,,
7 - launched,New England Thriving Communities Technical Assistance Center (NE TCTAC) Website,,https://thriving-communities-technical-assistance.program.uconn.edu/,,Institute of the Environment and Energy,,Institute of the Environment and Energy,Carolyn A. Lin,,Internal,Core,y,,,Natalie,,,Natalie L.,,,
7 - launched,Okur-Chung Neurodevelopmental Syndrome,,https://okurchung.com/,,Physiology and Neurobiology,,College of Liberal Arts and Sciences,Dan Schwartz,,Internal,Core,y,,,Joel,,,"Joel S., Emelia S.",,,
7 - launched,Pandemic Journaling Project,,https://pandemic-journaling-project.chip.uconn.edu/featured-entries/,,Anthropology,,College of Liberal Arts and Sciences,Sarah Willen,,Internal,Core,,,,Joel,,,Joel S.,,,
7 - launched,Personal Service Agreement App Maintenance,,,,Procurement,,Procurement,Jeremiah Macht,,Internal,Internal,,,,Joel,,,Joel S.,,,
7 - launched,Phyllis Wheatley Papers Website,,,,History,,College of Liberal Arts and Sciences,Cornelia Dayton,,Internal,Core,Y,,,Brooke,,,"Brooke G., Tom L., Cara T.",,,
7 - launched,Physiology & Neurobiology Department Website,,https://pnb.uconn.edu/,,Physiology and Neurobiology,,College of Liberal Arts and Sciences,,,Internal,Internal,N,,,Natalie,,,"Natalie L., Zoe O.",,,
7 - launched,Project ESSY Processing Tool,,https://expanding-school-screening.education.uconn.edu/,,Educational Psychology,,Neag School of Education,Sandy Chafouleas,,Internal,Core,Y,,,Joel,,,"Emma A., Jay K., Shium M., Joel S.",,,
7 - launched,Puerto Rican Research and Data Consortiumfor Public Policy Website,,https://data.puertoricanstudies.clas.uconn.edu/,,Puerto Rican Studies Initiative for Civic Engagement and Public Policy,,College of Liberal Arts and Sciences,Rob Venator Santiago,,Internal,Core,Y,,,Natalie,,,"Natalie L., Emelia S.",,,
7 - launched,Quantum Alliance,,https://quantum.research.uconn.edu/,,Office of the Vice President for Research,,Office of the Vice President for Research,Melanie Noble,,Internal,Core,y,,,Natalie,,,"Natalie L., Kailey M., Lilli H.",,,
7 - launched,Rain Garden,,https://nemo.uconn.edu/raingardens/,,Center for Land Use Education and Research,,"College of Agriculture, Health and Natural Resources",David Dickson,,Internal,Core,,,,Natalie,,,"Harrison B., Brian D., Natalie L., Joel S.",,,
7 - launched,Rankings Slide Deck (Board of Trustees Presentation),,,,Office of the Provost,,Office of the Provost,Dan Schwartz,,Internal,Internal,N,,,Natalie,,,Natalie L.,,,
7 - launched,Shark Week Illustrations,,,,Connecticut State Museum of Natural History,,Connecticut State Museum of Natural History,Janine Caira,,Internal,Core,,,,Natalie,,,"Luna G., Natalie L.",,,
7 - launched,Shipbuilding Initiative Website,,https://shipbuilding.research.uconn.edu/,,National Institute for Undersea Vehicle Technology,,National Institute for Undersea Vehicle Technology,Melanie Noble,,Internal,Core,y,,,Natalie,,,Natalie L.,,,
7 - launched,Strategic Decision-Making Tool,,,,Office of the Provost,,Office of the Provost,Dan Schwartz,,Internal,Internal,,,,Joel,,,Joel S.,,,
7 - launched,Strategic Plan Webpage,,https://strategicplan.uconn.edu/,,Office of the President,,Office of the President,Lauren Jorgensen,,Internal,Internal,N,,,Joel,,,"Natalie L., Joel S.",,,
7 - launched,Student Survey Slide (Board of Trustees Presentation),,,,Office of the President,,Office of the President,,,Internal,Internal,N,,,Natalie,,,Natalie L.,,,
7 - launched,Time Off Request System,,,,Procurement,,Procurement,Jeremiah Macht,,Internal,Internal,,,,Joel,,,Joel S.,,,
7 - launched,Turf Grass Management App,,https://tgmsuite.dev.i3.uconn.edu/home,,Plant Science,Plant Science and Landscape Architecture,"College of Agriculture, Health and Natural Resources",Vickie Wallace,,Internal,Core,,,,Joel,,,"Emma A., Joel S.",,,
7 - launched,UConn Research Annual Report,,,,Office of the Vice President for Research,,Office of the Vice President for Research,Bethany Javidi,,Internal,Internal,,,,Natalie,,,Natalie L.,,,
7 - launched,USDA RMA and FSA Crop Reporting Tool,,https://cropdeadlines.core.uconn.edu/login,,UConn Extension,,"College of Agriculture, Health and Natural Resources",,,Internal,Core,,,USDA RMA Award,Joel,,,"Emma A., Joel S.",,,
7 - launched,Voice Switch/Brain Switch,,https://voiceswitch.sfa.uconn.edu/,,Art and Art History,,School of Fine Arts,Jennifer Scapetis-Tycer,,Internal,Core,Y,,,Natalie,,,"Natalie L., Emily H.",,,
7 - launched,Werth Institute Website,,https://werth.institute.uconn.edu/,,Werth Institute for Entrepreneurship and Innovation,,Werth Institute for Entrepreneurship and Innovation,Michelle Cote,,Internal,Internal,N,,,Natalie,,,Natalie L.,,,
7 - launched,Wi-Fi Traffic Dashboard,,,,Office of the Provost,,Office of the Provost,Dan Schwartz,,Internal,Internal,,,,Joel,,,Joel S.,,,
8 - sunsetted,Belonging Website,website,,,Well-being Collective,,Well-being Collective,Kathryn Roy,,Internal,Core,N,,,Sue,,,Sue S.,,,
8 - sunsetted,Executive MBA Program,website,,,School of Business,,School of Business,Bill Eyre,,Internal,Internal,N,,,Sue,,,Sue S.,,,
8 - sunsetted,Convivio,,,,Greenhouse Studios,,UConn Humanities Institute,Wes Hamrick,,Internal,Core,Y," $28,000.00 ",UConn Humanities Institute,Brooke,,,"Brooke G., Wes H., Tom L., Wenchao L.",,,
8 - sunsetted,Digital Public History Communities & Collaborations Series,,,,UConn Humanities Institute,,UConn Humanities Institute,Clarissa Ceglio,,Internal,Core,Y,,,Brooke,,,"Clarissa C., Constance H., Tom L.",,,
8 - sunsetted,Flusser Vision,,,,German Studies,"Literatures, Cultures and Languages",College of Liberal Arts & Sciences,Anke Finger,,Internal,Core,,,,Sara,,,"Tom L., Wenchao L., Sara S.",,,
8 - sunsetted,Hiring Maps,,,,Agricultural & Resource Economics,,"College of Agriculture, Health and Natural Resources",Nathan Fiala,,Internal,Core,,,,BK,,,Brian K.,,,
8 - sunsetted,Humility & Conviction in Public Life 3,,,,Greenhouse Studios,,UConn Humanities Institute,Hans Asenbaum,,Internal,Core,Y," $28,000.00 ",UConn Humanities Institute,Brooke,,,"Brooke G., Wes H., Alyssa M.",,,
8 - sunsetted,Lincus 1.0,,,,Office of the Provost,,Office of the Provost,Dan Schwartz,,Internal,Internal,N,,,Dan,,,Dan S.,,,
8 - sunsetted,Museums & Civic Discourse,,,,UConn Humanities Institute,,UConn Humanities Institute,Clarissa Ceglio,,Internal,Core,Y," $2,000.00 ",,Brooke,,,"Clarissa C., Brooke G.",,,
8 - sunsetted,Nemrics,,,,National Institute for Undersea Vehicle Technology,,National Institute for Undersea Vehicle Technology,,,Internal,Core,Y,,,Joel,,,"Matt M., Joel S.",,,
8 - sunsetted,PrEP Choices Quiz,,,,Allied Health Sciences,,"College of Agriculture, Health and Natural Resources",Pablo Kokay Valente,,Internal,Core,Y,,,Natalie,,,"Natalie L., Joel S.",,,
8 - sunsetted,Stamford Data Science Initiative,,,,Office of the Vice President for Research,,Office of the Vice President for Research,Dan Schwartz,,Internal,Core,y,,,Natalie,,,Natalie L.,,,
8 - sunsetted,Treehouse,,https://i3.uconn.edu/blog/students-first,,Greenhouse Studios,,UConn Library,Brooke Gemmell,,Internal,Internal,N,,,Brooke,,,"Brooke G., Tom L., Isabell S., Carly W.",,,
2 - discovery phase,Joshua's Trust Website,website,https://joshuastrust.org/,,Joshua's Trust,,Joshua's Trust,Melica Stinnett,,External,Core,,,,Joel,,"Brooke G., Joel S., Sara S.","Brooke G., Joel S., Sara S.",,,
3 - pending approval,Primary Ciliary Dyskinesia (PCD) App,webapp,,,Connecticut Children's Medical Center,,Connecticut Children's Medical Center,Melanie Sue Collins,,External,Core,,,,Sara,,"Brooke G., Joel S., Sara S.","Brooke G., Joel S., Sara S.",,,
4- ongoing,Sing Sing Prison Museum Archive,webapp,,,Sing Sing Prison Museum,,Sing Sing Prison Museum,Amy Huffnagel,,External,Core,,,,Natalie,,"Natalie L., Joel S.","Natalie L., Joel S.",,,
5 - maintenance,Wondercat,,https://wonder-cat.org/,,University of New Haven,,University of New Haven,Mary Isbell,,External,Core,,,,Brian,,Brian D.,Brian D.,,,
7 - launched,Access2Ag.com,website,https://access2ag.com/,,Connecticut Resource Conservation and Development,,Connecticut Resource Conservation and Development,Jocelyn Lahey,,External,Core,N,,,BK,,,Brian K.,,,
7 - launched,Connecticut Remembers the Holocaust,,http://ctremembers.org/,,Voices of Hope,,Voices of Hope,Kathy Fishman,,External,Core,Y,,,Joel,,,"Brian D., Brian K., Natalie L., Joel S.",,,
7 - launched,Greater Hartford Gives Foundation Centennial Timeline,,https://100years.greaterhartfordgives.org/,,Greater Hartford Gives Foundation,,Greater Hartford Gives Foundation,Brad Drazen,,External,Core,Y," $79,060.00 ",Greater Hartford Gives,Sara,,,"Victoria B., Brooke G., Wes H., Brian K., Yuna K., Tom L., Sara S., Joel S.",,,
7 - launched,International Society on Early Intervention Member Database,,https://isei-members.dev.i3.uconn.edu/,,International Society on Early Intervention,,International Society on Early Intervention,Mary Beth Bruder,,External,Core,y,,,Joel,,,Sue S.,,,
8 - sunsetted,TrialMatch Web App,webapp,,,Alzheimer's Association,,Alzheimer's Association,,,External,Core,,,,Joel,,Joel S.,Joel S.,,,
7 - launched,Charitable Food Nutrition Index Calculator,webapp,https://uconnruddcenter.org/cfni/,,Rudd Center for Food Policy and Health,,Rudd Center for Food Policy and Health,Marlene Schwartz,,,Core,Y,,,Joel,,,Joel S.,,,
7 - launched,Environmental Institute Graphic Design,graphic design,,,Institute of the Environment and Energy,,Institute of the Environment and Energy,Margaret Walsh,,,Core,,,,Natalie,,,Natalie L. Lilli H.,,,
7 - launched,WellSAT,,https://www.wellsat.org/,,Rudd Center for Food Policy and Health,,Rudd Center for Food Policy and Health,Marlene Schwartz,,,Core,Y,,,Joel,,,"Denzel A., Ryan C., Natalie L., Joel S.",,,
,Innovate Practice,,,,,,,,,,Core,,,,,,,,,,
,CT AI,,,,,,,,,,Core,,,,,,,,,,
,National Security Institute for Innovation,,,,,,,,,,Core,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
